query,result1,result2,result3,domain
11,"-1,-5",",",,maps6
12,"-10,-13",",",,maps102
13,"-1,-3",",",,maps196
14,"-1,-9",",",,maps25
15,"-1,-7",",",,maps155
21,"-1,-2,-5",",",,maps10
22,"-1,-11,-13",",",,maps30
23,"-1,-8,-11",",",,maps40
24,"-1,-2,-4",",",,maps60
25,"-1,-7,-10",",",,maps80
31,"-1,-2,-6",",",,maps15
32,"-1,-2,-5",",",,maps32
33,"-1,-9,-11",",",,maps53
34,"-1,-2,-4",",",,maps78
35,"-1,-2,-3",",",,maps4796
41,"-1,-2","-1,-7,-11",,maps19
42,"-7,-9","-7,-10",,maps19
43,"-2,-13","-2,-4",,maps40
44,"-1,-8","-1,-6",,maps47
45,"-1,-3","-1,-7",,maps52
